
C:\Users\Nick\Code\lolmath>python -m cProfile -s cumulative tests.py 
         1985685 function calls (1956127 primitive calls) in 3.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 six.py:317(exec_)
        1    0.000    0.000    0.000    0.000 structures.py:9(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
      102    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       63    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       34    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      285    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
       90    0.000    0.000    0.000    0.000 {range}
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 cgi.py:16(<module>)
        1    0.000    0.000    0.000    0.000 utf_8.py:8(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
      807    0.000    0.000    0.000    0.000 {ord}
      124    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       87    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 __init__.py:1064(_fixupParents)
        1    0.000    0.000    0.000    0.000 kindred.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
      466    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {hasattr}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       10    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        7    0.000    0.000    0.000    0.000 __init__.py:1120(__init__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       75    0.000    0.000    0.000    0.000 tests.py:83(<lambda>)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
       52    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
      189    0.000    0.000    0.000    0.000 item.py:161(__repr__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        5    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:125(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 champion.py:13(Champion)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       59    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:663(__init__)
        2    0.000    0.000    0.000    0.000 ssl.py:302(__new__)
        3    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
       75    0.000    0.000    0.000    0.000 champion.py:272(SV)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       75    0.000    0.000    0.000    0.000 champion.py:254(bonus_MPR)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 rune.py:1(<module>)
        1    0.000    0.000    0.000    0.000 damage.py:1(<module>)
       10    0.000    0.000    0.000    0.000 threading.py:187(release)
        9    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
       31    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
        1    0.000    0.000    0.000    0.000 mimetypes.py:375(_default_mime_types)
       75    0.000    0.000    0.000    0.000 champion.py:208(bonus_HPR)
       45    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        2    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
       86    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 certs.py:19(where)
        2    0.000    0.000    0.000    0.000 {_csv.register_dialect}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
       90    0.000    0.000    0.000    0.000 item.py:89(__repr__)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 response.py:66(HTTPResponse)
        1    0.000    0.000    0.000    0.000 mastery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       75    0.000    0.000    0.000    0.000 champion.py:238(AP)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       75    0.000    0.000    0.000    0.000 champion.py:116(range)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:644(_addHandlerRef)
       38    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 tempfile.py:505(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 threading.py:114(RLock)
       58    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {math.exp}
      116    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       76    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 six.py:83(__get__)
       75    0.000    0.000    0.000    0.000 champion.py:279(bonus_MS)
        1    0.000    0.000    0.000    0.000 decoder.py:304(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:12(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1291(addHandler)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
       24    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 urllib2.py:1084(HTTPDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 rfc822.py:85(Message)
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
        1    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:73(DictReader)
       75    0.000    0.000    0.000    0.000 champion.py:242(CDR)
